Date,Day,High Temp,Low Temp,Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total,,Total/day of week avg,,Average total:,
17-Aug,Wednesday,84.9,77,0.01,"3,279","5,942","7,610","5,606","22,437",,1.000657085,,,
18-Aug,Thursday,84,72,0.03,"3,179","5,658","7,411","5,487","21,735",,1.04589222,,,
19-Aug,Friday,87.1,75,0.01,"3,060","4,700","6,867","5,265","19,892",,1.106058595,,,
20-Aug,Saturday,82.9,70,0.82,"4,304","7,005","5,402","4,483","21,194",,1.412872565,,,
21-Aug,Sunday,84.9,75,0.31,"1,937","4,866","3,920","3,048","13,771",,1.003981581,,,
22-Aug,Monday,77,69.1,0,"3,699","4,973","7,866","5,515","22,053",,1.137121281,,,
23-Aug,Tuesday,80.1,64,0,"3,961","4,115","8,766","6,072","22,914",,1.102574631,,,
24-Aug,Wednesday,87.8,68,0,"3,633","3,087","8,395","6,112","21,227",,0.946692871,,,
25-Aug,Thursday,86,71.6,0,"3,330","2,959","7,724","5,787","19,800",,0.952779662,,,
26-Aug,Friday,89.6,77,0,"2,973","5,296","6,691","5,007","19,967",,1.110228834,,,
27-Aug,Saturday,88,75.2,0,"2,849","5,401","5,703","4,215","18,168",,1.211147908,,,
28-Aug,Sunday,87.1,73,0,"2,995","5,904","4,969","3,805","17,673",,1.288458825,,,
29-Aug,Monday,90,73.9,0,"3,355","5,748","7,388","5,289","21,780",,1.123044552,,,
30-Aug,Tuesday,84,70,0,"3,617","5,340","8,424","5,927","23,308",,1.121533102,,,
31-Aug,Wednesday,88,75,0,"3,359","4,212","7,972","5,853","21,396",,0.954230021,,,
1-Sep,Thursday,78.1,70,0,"1,608","3,012","4,435","3,498","12,553",,0.604052682,,,
2-Sep,Friday,80.1,66,0,"3,594","6,657","7,116","5,376","22,743",,1.264583281,,,
3-Sep,Saturday,73.9,68,0,"2,850","7,357","5,115","3,961","19,283",,1.285478044,,,
4-Sep,Sunday,79,64.9,0,"2,871","6,949","4,800","3,275","17,895",,1.304643845,,,
5-Sep,Monday,82.9,66,0,"2,465","6,248","4,904","3,583","17,200",,0.886885505,,,
6-Sep,Tuesday,79,72,0,"2,796","5,121","6,071","4,441","18,429",,0.88676564,,,
7-Sep,Wednesday,82.9,72,0,"3,268","4,216","7,988","5,486","20,958",,0.934695868,,,
8-Sep,Thursday,88,71.1,0,"3,285","4,470","8,007","5,782","21,544",,1.036701265,,,
9-Sep,Friday,90,81,0.22,"3,026","6,060","6,734","5,030","20,850",,1.159326448,,,
10-Sep,Saturday,90,75,0,"5,136","7,072","5,544","4,303","22,055",,1.470270096,,,
11-Sep,Sunday,82,75,0,"2,654","6,433","5,426","3,736","18,249",,1.33045239,,,
12-Sep,Monday,78.1,62.1,0,"3,691","3,445","8,230","5,768","21,134",,1.089734783,,,
13-Sep,Tuesday,82,64.9,0,"3,783","9,152","8,972","6,315","28,222",,1.357984692,,,
14-Sep,Wednesday,90,69.1,0.56,"3,318","6,787","7,982","5,819","23,906",,1.066172317,,,
15-Sep,Thursday,73,62.1,0,"3,665","7,598","8,708","6,261","26,232",,1.262288692,,,
16-Sep,Friday,73,62.1,0,"3,428","5,143","7,729","5,880","22,180",,1.233278687,,,
17-Sep,Saturday,75.9,60.1,0,"2,951","5,210","6,727","4,813","19,701",,1.313343512,,,
18-Sep,Sunday,81,71.1,0,"2,356","4,066","5,175","3,482","15,079",,1.099341969,,,
19-Sep,Monday,72,69.1,0.68,"1,063","2,260","3,123","2,505","8,951",,0.461541404,,,
20-Sep,Tuesday,82,69.1,0,"3,661","7,044","8,039","5,961","24,705",,1.188753873,,,
21-Sep,Wednesday,84,69.1,0,"3,613","7,411","8,452","6,295","25,771",,1.149348564,,,
22-Sep,Thursday,86,64.9,0,"3,663","7,532","8,470","6,098","25,763",,1.239720325,,,
23-Sep,Friday,86,64,0.01,"3,663","6,702","8,104","5,074","23,543",,1.309065831,,,
24-Sep,Saturday,71.1,57.9,0.2,"2,567","4,693","5,674","3,827","16,761",,1.117351942,,,
25-Sep,Sunday,69.1,54,0,"2,971","5,013","5,900","3,763","17,647",,1.286563282,,,
